class,degree,degreeDesc,classMajor,classNum,degreeMajor,degreeType,degreeMajorRead,degreeFocus
CLAS 1210,CLAS-AB,Classics - AB,CLAS,1210,CLAS,BA,Classics,
CLAS 1220,CLAS-AB,Classics - AB,CLAS,1220,CLAS,BA,Classics,
CLAS 1310,CLAS-AB,Classics - AB,CLAS,1310,CLAS,BA,Classics,
CLAS 1320,CLAS-AB,Classics - AB,CLAS,1320,CLAS,BA,Classics,
HIST 1201B,CLAS-AB,Classics - AB,HIST,1201B,CLAS,BA,Classics,
GREK 1050F,CLAS-AB,Classics - AB,GREK,1050F,CLAS,BA,Classics,
GREK 1100E,CLAS-AB,Classics - AB,GREK,1100E,CLAS,BA,Classics,
GREK 1100F,CLAS-AB,Classics - AB,GREK,1100F,CLAS,BA,Classics,
GREK 1110I,CLAS-AB,Classics - AB,GREK,1110I,CLAS,BA,Classics,
GREK 1111E,CLAS-AB,Classics - AB,GREK,1111E,CLAS,BA,Classics,
GREK 1150,CLAS-AB,Classics - AB,GREK,1150,CLAS,BA,Classics,
GREK 1810,CLAS-AB,Classics - AB,GREK,1810,CLAS,BA,Classics,
LATN 1040A,CLAS-AB,Classics - AB,LATN,1040A,CLAS,BA,Classics,
LATN 1060H,CLAS-AB,Classics - AB,LATN,1060H,CLAS,BA,Classics,
LATN 1110F,CLAS-AB,Classics - AB,LATN,1110F,CLAS,BA,Classics,
LATN 1110I,CLAS-AB,Classics - AB,LATN,1110I,CLAS,BA,Classics,
LATN 1110O,CLAS-AB,Classics - AB,LATN,1110O,CLAS,BA,Classics,
LATN 1110R,CLAS-AB,Classics - AB,LATN,1110R,CLAS,BA,Classics,
LATN 1820,CLAS-AB,Classics - AB,LATN,1820,CLAS,BA,Classics,
CLAS 0010,CLAS-AB,Classics - AB,CLAS,0010,CLAS,BA,Classics,
CLAS 0150,CLAS-AB,Classics - AB,CLAS,0150,CLAS,BA,Classics,
CLAS 0210L,CLAS-AB,Classics - AB,CLAS,0210L,CLAS,BA,Classics,
CLAS 0660,CLAS-AB,Classics - AB,CLAS,0660,CLAS,BA,Classics,
CLAS 0780,CLAS-AB,Classics - AB,CLAS,0780,CLAS,BA,Classics,
CLAS 0810A,CLAS-AB,Classics - AB,CLAS,0810A,CLAS,BA,Classics,
CLAS 0820,CLAS-AB,Classics - AB,CLAS,0820,CLAS,BA,Classics,
CLAS 0855,CLAS-AB,Classics - AB,CLAS,0855,CLAS,BA,Classics,
CLAS 0900,CLAS-AB,Classics - AB,CLAS,0900,CLAS,BA,Classics,
CLAS 0990,CLAS-AB,Classics - AB,CLAS,0990,CLAS,BA,Classics,
